chr1	16855	16875	WASH1	WASH7P	not_matched
chr1	63106	63126	OR4F3	ENSG00000290826;OR4G11P	not_matched
chr1	69402	69422	OR4F4	OR4F5	not_matched
chr1	69495	69515	OR4F5	OR4F5	matched
chr1	69559	69579	OR4F5	OR4F5	matched
chr1	69611	69631	OR4F5	OR4F5	matched
chr1	188423	188443	WASH1	WASH9P	not_matched
chr1	451269	451289	OR4F16	ENSG00000290385;OR4F29	not_matched
chr1	451358	451378	OR4F16	ENSG00000290385;OR4F29	not_matched
chr1	686284	686304	OR4F21	ENSG00000230021;OR4F16	not_matched
chr1	686320	686340	OR4F29	ENSG00000230021;OR4F16	not_matched
chr1	781982	782002	SEPTIN7	ENSG00000230021;LINC01409;ENSG00000285268	not_matched
chr1	808578	808598	FBXO25	ENSG00000230021;LINC01409;ENSG00000290784;ENSG00000230092	not_matched
chr1	831847	831867	NEGCTRL	LINC01128	not_matched
chr1	930313	930333	SAMD11	SAMD11	matched
chr1	935825	935845	SAMD11	SAMD11	matched
chr1	939107	939127	SAMD11	SAMD11	matched
chr1	941221	941241	SAMD11	SAMD11	matched
chr1	952008	952028	NOC2L	NOC2L	matched
chr1	953263	953283	NOC2L	NOC2L	matched
chr1	956145	956165	NOC2L	NOC2L	matched
chr1	958945	958965	NOC2L	NOC2L	matched
chr1	961487	961507	KLHL17	KLHL17	matched
chr1	961712	961732	KLHL17	KLHL17	matched
chr1	962422	962442	KLHL17	KLHL17	matched
chr1	963374	963394	KLHL17	KLHL17	matched
chr1	966742	966762	PLEKHN1	PLEKHN1	matched
chr1	970374	970394	PLEKHN1	PLEKHN1	matched
chr1	970697	970717	PLEKHN1	PLEKHN1	matched
chr1	972316	972336	PLEKHN1	PLEKHN1	matched
chr1	979840	979860	PERM1	PERM1	matched
chr1	980051	980071	PERM1	PERM1	matched
chr1	980282	980302	PERM1	PERM1	matched
chr1	980707	980727	PERM1	PERM1	matched
chr1	999393	999413	HES4	HES4	matched
chr1	999553	999573	HES4	HES4	matched
chr1	999693	999713	HES4	HES4	matched
chr1	999882	999902	HES4	HES4	matched
chr1	1014047	1014067	ISG15	ISG15	matched
chr1	1014123	1014143	ISG15	ISG15	matched
chr1	1014229	1014249	ISG15	ISG15	matched
chr1	1014270	1014290	ISG15	ISG15	matched
chr1	1043435	1043455	AGRN	AGRN	matched
chr1	1044398	1044418	AGRN	AGRN	matched
chr1	1046680	1046700	AGRN	AGRN	matched
chr1	1048022	1048042	AGRN	AGRN	matched
chr1	1072081	1072101	RNF223	RNF223	matched
chr1	1072274	1072294	RNF223	RNF223	matched
chr1	1072370	1072390	RNF223	RNF223	matched
chr1	1072404	1072424	RNF223	RNF223	matched
chr1	1085923	1085943	C1ORF159	C1ORF159	matched
chr1	1087531	1087551	C1ORF159	C1ORF159	matched
chr1	1091469	1091489	C1ORF159	C1ORF159	matched
chr1	1091506	1091526	C1ORF159	C1ORF159	matched
chr1	1180105	1180125	TTLL10	TTLL10	matched
